PID,Gist_English_by_Sant_Singh
P0067L09,"Without love, there is no devotional worship. Without the Shabad, no one finds acceptance."
P0067L10,"Through the Shabad, egotism is conquered and subdued, and the illusion of Maya is dispelled."
P0067L11,The Gurmukh obtains the Treasure of the Naam with intuitive ease. ||7||
P0067L12,"Without the Guru, one's virtues do not shine forth; without virtue, there is no devotional worship."
P0067L13,The Lord is the Lover of His devotees; He abides within their minds. They meet that God with intuitive ease.
P0067L14,"O Nanak, through the Shabad, praise the Lord. By His Grace, He is obtained. ||8||4||21||"
P0067L15,"Siree Raag, Third Mehl,"
P0067L16,Emotional attachment to Maya is created by my God; He Himself misleads us through illusion and doubt.
P0067L17,"The self-willed manmukhs perform their actions, but they do not understand; they waste away their lives in vain."
P0067L18,"Gurbani is the Light to illuminate this world; by His Grace, it comes to abide within the mind. ||1||"
P0067L19,"O mind, chant the Naam, the Name of the Lord, and find peace."
P0067L20,"Praising the Perfect Guru, you shall easily meet with that God. ||1||Pause||"
P0067L21,"Doubt departs, and fear runs away, when you focus your consciousness on the Lord's Feet."
P0067L22,"The Gurmukh practices the Shabad, and the Lord comes to dwell within the mind."
P0067L23,"In the mansion of the home within the self, we merge in Truth, and the Messenger of Death cannot devour us. ||2||"
P0067L24,"Naam Dayv the printer, and Kabeer the weaver, obtained salvation through the Perfect Guru."
P0067L25,Those who know God and recognize His Shabad lose their ego and class consciousness.
P0067L26,"Their Banis are sung by the angelic beings, and no one can erase them, O Siblings of Destiny! ||3||"
P0067L27,"The demon's son Prahlaad had not read about religious rituals or ceremonies, austerity or self-discipline; he did not know the love of duality."
P0067L28,"Upon meeting with the True Guru, he became pure; night and day, he chanted the Naam, the Name of the Lord."
P0067L29,He read only of the One and he understood only the One Name; he knew no other at all. ||4||
P0067L30,"The followers of the six different life-styles and world-views, the Yogis and the Sanyaasees have gone astray in doubt without the Guru."
P0067L31,"If they serve the True Guru, they find the state of salvation; they enshrine the Dear Lord within their minds."
P0067L32,"They focus their consciousness on the True Bani, and their comings and goings in reincarnation are over. ||5||"
P0067L33,"The Pandits, the religious scholars, read and argue and stir up controversies, but without the Guru, they are deluded by doubt."
P0067L34,"They wander around the cycle of 8.4 million reincarnations; without the Shabad, they do not attain liberation."
P0067L35,"But when they remember the Name, then they attain the state of salvation, when the True Guru unites them in Union. ||6||"
P0067L36,"In the Sat Sangat, the True Congregation, the Name of the Lord wells up, when the True Guru unites us in His Sublime Love."
P0068L01,"I offer my mind and body, and I renounce my selfishness and conceit; I walk in Harmony with the Will of the True Guru."
P0068L02,"I am forever a sacrifice to my Guru, who has attached my consciousness to the Lord. ||7||"
P0068L03,"He alone is a Brahmin, who knows the Lord Brahma, and is attuned to the Love of the Lord."
P0068L04,"God is close at hand; He dwells deep within the hearts of all. How rare are those who, as Gurmukh, know Him."
P0068L05,"O Nanak, through the Naam, greatness is obtained; through the Word of the Guru's Shabad, He is realized. ||8||5||22||"
P0068L06,"Siree Raag, Third Mehl,"
P0068L07,"Everyone longs to be centered and balanced, but without the Guru, no one can."
P0068L08,"The Pandits and the astrologers read and read until they grow weary, while the fanatics are deluded by doubt."
P0068L09,"Meeting with the Guru, intuitive balance is obtained, when God, in His Will, grants His Grace. ||1||"
P0068L10,"O Siblings of Destiny, without the Guru, intuitive balance is not obtained."
P0068L11,"Through the Word of the Shabad, intuitive peace and poise wells up, and that True Lord is obtained. ||1||Pause||"
P0068L12,"That which is sung intuitively is acceptable; without this intuition, all chanting is useless."
P0068L13,"In the state of intuitive balance, devotion wells up. In intuitive balance, love is balanced and detached."
P0068L14,"In the state of intuitive balance, peace and tranquility are produced. Without intuitive balance, life is useless. ||2||"
P0068L15,"In the state of intuitive balance, praise the Lord forever and ever. With intuitive ease, embrace Samaadhi."
P0068L16,"In the state of intuitive balance, chant His Glories, lovingly absorbed in devotional worship."
P0068L17,"Through the Shabad, the Lord dwells within the mind, and the tongue tastes the Sublime Essence of the Lord. ||3||"
P0068L18,"In the poise of intuitive balance, death is destroyed, entering the Sanctuary of the True One."
P0068L19,"Intuitively balanced, the Name of the Lord dwells within the mind, practicing the lifestyle of Truth."
P0068L20,Those who have found Him are very fortunate; they remain intuitively absorbed in Him. ||4||
P0068L21,"Within Maya, the poise of intuitive balance is not produced. Maya leads to the love of duality."
P0068L22,"The self-willed manmukhs perform religious rituals, but they are burnt down by their selfishness and conceit."
P0068L23,"Their births and deaths do not cease; over and over again, they come and go in reincarnation. ||5||"
P0068L24,"In the three qualities, intuitive balance is not obtained; the three qualities lead to delusion and doubt."
P0068L25,"What is the point of reading, studying and debating, if one loses his roots?"
P0068L26,"In the fourth state, there is intuitive balance; the Gurmukhs gather it in. ||6||"
P0068L27,"The Naam, the Name of the Formless Lord, is the treasure. Through intuitive balance, understanding is obtained."
P0068L28,The virtuous praise the True One; their reputation is true.
P0068L29,"The wayward are united with God through intuitive balance; through the Shabad, union is obtained. ||7||"
P0068L30,"Without intuitive balance, all are blind. Emotional attachment to Maya is utter darkness."
P0068L31,"In intuitive balance, understanding of the True, Infinite Shabad is obtained."
P0068L32,"Granting forgiveness, the Perfect Guru unites us with the Creator. ||8||"
P0068L33,"In intuitive balance, the Unseen is recognized-the Fearless, Luminous, Formless Lord."
P0068L34,There is only the One Giver of all beings. He blends our light with His Light.
P0068L35,So praise God through the Perfect Word of His Shabad; He has no end or limitation. ||9||
P0068L36,"Those who are wise take the Naam as their wealth; with intuitive ease, they trade with Him."
P0068L37,"Night and day, they receive the Profit of the Lord's Name, which is an inexhaustible and over-flowing treasure."
P0068L38,"O Nanak, when the Great Giver gives, nothing at all is lacking. ||10||6||23||"
P0069L01,"Siree Raag, Third Mehl:"
P0069L02,"Meeting with the True Guru, you shall not have to go through the cycle of reincarnation again; the pains of birth and death will be taken away."
P0069L03,"Through the Perfect Word of the Shabad, all understanding is obtained; remain absorbed in the Name of the Lord. ||1||"
P0069L04,"O my mind, focus your consciousness on the True Guru."
P0069L05,"The Immaculate Naam itself, ever-fresh, comes to abide within the mind. ||1||Pause||"
P0069L06,"O Dear Lord, please protect and preserve me in Your Sanctuary. As You keep me, so do I remain."
P0069L07,"Through the Word of the Guru's Shabad, the Gurmukh remains dead while yet alive, and swims across the terrifying world-ocean. ||2||"
P0069L08,"By great good fortune, the Name is obtained. Following the Guru's Teachings, through the Shabad, you shall be exalted."
P0069L09,"God, the Creator Himself, dwells within the mind; remain absorbed in the state of intuitive balance. ||3||"
P0069L10,"Some are self-willed manmukhs; they do not love the Word of the Shabad. Bound in chains, they wander lost in reincarnation."
P0069L11,"Through 8.4 million lifetimes, they wander over and over again; they waste away their lives in vain. ||4||"
P0069L12,In the minds of the devotees there is bliss; they are attuned to the Love of the True Word of the Shabad.
P0069L13,"Night and day, they constantly sing the Glories of the Immaculate Lord; with intuitive ease, they are absorbed into the Naam, the Name of the Lord. ||5||"
P0069L14,"The Gurmukhs speak the Ambrosial Bani; they recognize the Lord, the Supreme Soul in all."
P0069L15,They serve the One; they worship and adore the One. The Gurmukhs speak the Unspoken Speech. ||6||
P0069L16,"The Gurmukhs serve their True Lord and Master, who comes to dwell in the mind."
P0069L17,"They are forever attuned to the Love of the True One, who bestows His Mercy and unites them with Himself. ||7||"
P0069L18,"He Himself does, and He Himself causes others to do; He wakes some from their sleep."
P0069L19,He Himself unites us in Union; Nanak is absorbed in the Shabad. ||8||7||24||
P0069L20,"Siree Raag, Third Mehl:"
P0069L21,"Serving the True Guru, the mind becomes immaculate, and the body becomes pure."
P0069L22,"The mind obtains bliss and eternal peace, meeting with the Deep and Profound Lord."
P0069L23,"Sitting in the Sangat, the True Congregation, the mind is comforted and consoled by the True Name. ||1||"
P0069L24,"O mind, serve the True Guru without hesitation."
P0069L25,"Serving the True Guru, the Lord abides within the mind, and no trace of filth shall attach itself to you. ||1||Pause||"
P0069L26,From the True Word of the Shabad comes honor. True is the Name of the True One.
P0069L27,I am a sacrifice to those who conquer their ego and recognize the Lord.
P0069L28,"The self-willed manmukhs do not know the True One; they find no shelter, and no place of rest anywhere. ||2||"
P0069L29,"Those who take the Truth as their food and the Truth as their clothing, have their home in the True One."
P0069L30,"They constantly praise the True One, and in the True Word of the Shabad they have their dwelling."
